name,latitude,longitude,address,type
Cửa hàng 1,10.727922,106.701611,"859 Nguyễn Thị Minh Khai, Quận 4, TP.HCM",convenience
Cửa hàng 2,10.837843,106.664223,"742 Điện Biên Phủ, Quận 3, TP.HCM",grocery
Cửa hàng 3,10.836521,106.783689,"438 Nguyễn Thị Minh Khai, Quận Phú Nhuận, TP.HCM",convenience
Cửa hàng 4,10.828588,106.783908,"963 Trần Hưng Đạo, Quận 4, TP.HCM",supermarket
Cửa hàng 5,10.776228,106.76104,"829 Nguyễn Đình Chiểu, Quận 3, TP.HCM",grocery
Cửa hàng 6,10.755194,106.735607,"293 Điện Biên Phủ, Quận 1, TP.HCM",convenience
Cửa hàng 7,10.760917,106.664701,"420 Lê Lợi, Quận 10, TP.HCM",convenience
Cửa hàng 8,10.749636,106.61493,"2 Nguyễn Thị Minh Khai, Quận 1, TP.HCM",grocery
Cửa hàng 9,10.751952,106.748472,"68 Lê Lợi, Quận Tân Bình, TP.HCM",convenience
Cửa hàng 10,10.762497,106.660924,"236 Nguyễn Thị Minh Khai, Quận 10, TP.HCM",supermarket
Cửa hàng 11,10.725427,106.736438,"683 Lê Lợi, Quận 3, TP.HCM",convenience
Cửa hàng 12,10.849667,106.671043,"189 Nguyễn Thị Minh Khai, Quận Phú Nhuận, TP.HCM",convenience
Cửa hàng 13,10.779835,106.736378,"865 Trần Hưng Đạo, Quận 5, TP.HCM",supermarket
Cửa hàng 14,10.848578,106.761761,"384 Nguyễn Huệ, Quận 4, TP.HCM",supermarket
Cửa hàng 15,10.758292,106.651194,"457 Cách Mạng Tháng Tám, Quận 3, TP.HCM",supermarket
Cửa hàng 16,10.849568,106.764775,"920 Lê Lợi, Quận Phú Nhuận, TP.HCM",supermarket
Cửa hàng 17,10.708468,106.658232,"979 Nguyễn Đình Chiểu, Quận 5, TP.HCM",supermarket
Cửa hàng 18,10.790894,106.73094,"183 Cách Mạng Tháng Tám, Quận Bình Thạnh, TP.HCM",grocery
Cửa hàng 19,10.755527,106.641524,"774 Nguyễn Thị Minh Khai, Quận Tân Bình, TP.HCM",supermarket
